original_column,school,state,nil_dollars,conference,revenue
Illinois Fighting Illini: $9.3 million,University of Illinois,Illinois,9.3,Big Ten,145.7
Washington Huskies: $9.4 million,University of Washington,Washington,9.4,Big Ten,145.1
Louisville Cardinals: $9.44 million,University of Louisville,Kentucky,9.44,ACC,146
South Carolina Gamecocks: $9.5 million,University of South Carolina,South Carolina,9.5,SEC,
Iowa Hawkeyes: $9.6 million,University of Iowa,Iowa,9.6,Big Ten,151
Florida State Seminoles: $10 million,Florida State University,Florida,10,ACC,161.1
Oregon Ducks: $10.6 million,Oregon,Oregon,10.6,Big Ten,153
Kentucky Wildcats: $11.2 million,University of Kentucky,Kentucky,11.2,SEC,159
Arkansas Razorbacks: $11.5 million,University of Arkansas,Arkansas,11.5,SEC,152
Auburn Tigers: $11.58 million,Aurburn University,Alabama,11.58,SEC,174
Tennessee Volunteers: $11.6 million,University of Tennessee,Tennessee,11.6,SEC,154
Virginia Cavaliers: $12.7 million,Virginia,Virginia,12.7,ACC,161.9
Michigan State Spartans: $13 million,Michigan State,Michigan,13,Big Ten,172
Indiana Hoosiers: $13.6 million,Indiana,Indiana,13.6,Big Ten,166
Penn State Nittany Lions: $13.7 million,Penn State,Pennsylvania,13.7,Big Ten,181
Oklahoma Sooners ($14.8M),University of Oklahoma,Oklahoma,14.8,SEC,177
Clemson Tigers ($15.2M),Clemson University,South Carolina,15.2,ACC,158
Florida Gators ($15.8M),University of Florida,Florida,15.8,SEC,190
Alabama Crimson Tide ($15.9M),Alabama,Alabama,15.9,SEC,214
Michigan Wolverines ($16.3M),University of Michigan,Michigan,16.3,Big Ten,210
Texas A&M Aggies ($17.2M),Texas A&M,Texas,17.2,SEC,193
Georgia Bulldogs ($18.3M),Georgia,Georgia,18.3,SEC,203
LSU Tigers ($20.1M),LSU,Louisiana,20.1,SEC,199
Ohio State Buckeyes ($20.2M),Ohio State,Ohio,20.2,Big Ten,251
Texas Longhorns ($22.2M),Texas,Texas,22.2,SEC,239
