X,Y,OBJECTID,UNITID,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR,school,2023_conference,2024_conference,nil_value,metric_1,metric_2,metric_3
-87.545978,33.211875,7,100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0100,1,1125,Tuscaloosa County,12,33.211875,-87.545978,46220,"Tuscaloosa, AL",1,N,N,107,1063,1021,2023-2024,Alabama,SEC,SEC,15995406,97324316,44211016,53113300
-86.799345,33.505697,2,100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,1,1073,Jefferson County,12,33.505697,-86.799345,13820,"Birmingham, AL",1,142,"Birmingham-Cullman-Talladega, AL",107,1055,1018,2023-2024,Alabama at Birmingham,AAC,AAC,1240957,7550624,2306791,5243833
-91.142854,31.877216,1869,175342,Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,MS,39096-7500,28,28021,Claiborne County,43,31.877216,-91.142854,N,N,0,N,N,2802,28085,28037,2023-2024,Alcorn State University,SWAC,SWAC,36786,223822,223822,
-81.680583,36.215536,2556,197869,Appalachian State University,287 Rivers St,Boone,NC,28608,37,37189,Watauga County,32,36.215536,-81.680583,14380,"Boone, NC",2,N,N,3705,37093,37047,2023-2024,Appalachian State,Sun Belt,Sun Belt,1925394,11715090,5407791,6307299
-110.950815,32.232672,94,104179,University of Arizona,1401 E University Blvd,Tucson,AZ,85721-0066,4,4019,Pima County,11,32.232672,-110.950815,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",407,4020,4020,2023-2024,Arizona,Pac-12,Big 12,6414683,39030243,19164426,19865817
-111.934383,33.417721,78,104151,Arizona State University Campus Immersion,University Drive and Mill Avenue,Tempe,AZ,85287,4,4013,Maricopa County,12,33.417721,-111.934383,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",404,4008,4008,2023-2024,Arizona State,Pac-12,Big 12,5689877,34620152,14144182,20475970
-94.176981,36.070009,135,106397,University of Arkansas,"1125 W Maple St, Administration Bldg 425",Fayetteville,AR,72701,5,5143,Washington County,13,36.070009,-94.176981,22220,"Fayetteville-Springdale-Rogers, AR",1,N,N,503,5022,5030,2023-2024,Arkansas,SEC,SEC,11544039,70239900,48073959,22165941
-90.679988,35.842388,138,106458,Arkansas State University,"2105 East, Aggie Road",Jonesboro,AR,72401,5,5031,Craighead County,13,35.842388,-90.679988,27860,"Jonesboro, AR",1,308,"Jonesboro-Paragould, AR",501,5036,5020,2023-2024,Arkansas State,Sun Belt,Sun Belt,1207619,7347777,1178133,6169644
-85.488258,32.599378,11,100858,Auburn University,M,Auburn,AL,36849,1,1081,Lee County,13,32.599378,-85.488258,12220,"Auburn-Opelika, AL",1,194,"Columbus-Auburn-Opelika, GA-AL",103,1079,1027,2023-2024,Auburn,SEC,SEC,11588953,70513179,34140396,36372783
-87.354081,36.533319,3339,219602,Austin Peay State University,601 College St,Clarksville,TN,37044,47,47125,Montgomery County,12,36.533319,-87.354081,17300,"Clarksville, TN-KY",1,N,N,4707,47067,47022,2023-2024,Austin Peay State University,ASUN,ASUN,253579,1542908,417101,1125807
-85.409043,40.203431,1110,150136,Ball State University,2000 W. University Ave,Muncie,IN,47306,18,18035,Delaware County,13,40.203431,-85.409043,34620,"Muncie, IN",1,294,"Indianapolis-Carmel-Muncie, IN",1805,18034,18026,2023-2024,Ball State,MAC,MAC,341183,2075931,795202,1280729
-116.203301,43.604284,932,142115,Boise State University,1910 University Dr,Boise,ID,83725,16,16001,Ada County,12,43.604284,-116.203301,14260,"Boise City, ID",1,147,"Boise City-Mountain Home-Ontario, ID-OR",1602,16018,16018,2023-2024,Boise State,MW,MW,2765657,16827686,7226105,9601581
-83.640896,41.375513,2719,201441,Bowling Green State University-Main Campus,220 McFall Ctr,Bowling Green,OH,43403,39,39173,Wood County,31,41.375513,-83.640896,45780,"Toledo, OH",1,N,N,3905,39075,39002,2023-2024,Bowling Green,MAC,MAC,670821,4081620,1201307,2880313
-122.260463,37.871918,245,110635,University of California-Berkeley,200 California Hall,Berkeley,CA,94720,6,6001,Alameda County,12,37.871918,-122.260463,41860,"San Francisco-Oakland-Fremont, CA",1,488,"San Jose-San Francisco-Oakland, CA",612,6014,6007,2023-2024,California,Pac-12,ACC,3932903,23929814,8073384,15856430
-81.200889,28.602159,701,132903,University of Central Florida,4000 Central Florida Blvd,Orlando,FL,32816,12,12095,Orange County,21,28.602159,-81.200889,36740,"Orlando-Kissimmee-Sanford, FL",1,422,"Orlando-Lakeland-Deltona, FL",1210,12037,12017,2023-2024,Central Florida,AAC,Big-12,3308993,20133624,5782943,14350681
-84.51428,39.131159,2736,201885,University of Cincinnati-Main Campus,2624 Clifton Avenue,Cincinnati,OH,45221-0063,39,39061,Hamilton County,11,39.131159,-84.51428,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington, OH-KY-IN",3901,39025,39009,2023-2024,Cincinnati,AAC,Big-12,3984845,24245856,9631998,14613858
