University,2023 Conf,2024 Conf,Collective Funding,Total Support,Ticket Sales,Contributions
Texas,Big 12,SEC,22272474,135517239,57543166,77974073
Ohio State,Big Ten,Big Ten,20253400,123232149,59649921,63582228
LSU,SEC,SEC,20137141,122524769,46594942,75929827
Georgia,SEC,SEC,18326566,111508298,37192353,74315945
Texas A&M,SEC,SEC,17228714,104828397,50624287,54204110
Michigan,Big Ten,Big Ten,16357054,99524766,55266135,44258631
Alabama,SEC,SEC,15995406,97324316,44211016,53113300
Florida,SEC,SEC,15802237,96148974,34784702,61364272
Clemson,ACC,ACC,15258374,92839831,31980356,60859475
Oklahoma,Big 12,SEC,14817595,90157905,46977771,43180134
Penn State,Big Ten,Big Ten,13793489,83926716,44678657,39248059
Indiana,Big Ten,Big Ten,13631160,82939020,21278997,61660023
Michigan State,Big Ten,Big Ten,13035471,79314544,25178673,54135871
Virginia,ACC,ACC,12780300,77761952,15114983,62646969
Tennessee,SEC,SEC,11602164,70593563,35110289,35483274
Auburn,SEC,SEC,11588953,70513179,34140396,36372783
Arkansas,SEC,SEC,11544039,70239900,48073959,22165941
Kentucky,SEC,SEC,11254204,68476390,40538111,27938279
Oregon,Pac-12,Big Ten,10623807,64640729,24357945,40282784
Florida State,ACC,ACC,10034191,61053203,18773797,42279406
Iowa,Big Ten,Big Ten,9698730,59012087,26416829,32595258
South Carolina,SEC,SEC,9554700,58135731,24301862,33833869
Louisville,ACC,ACC,9443439,57458760,27045669,30413091
Washington,Pac-12,Big Ten,9406794,57235798,29198790,28037008
Illinois,Big Ten,Big Ten,9311667,56656994,15693517,40963477
Wisconsin,Big Ten,Big Ten,8982406,54653602,38117093,16536509
Mississippi,SEC,SEC,8872378,53984130,19574652,34409478
North Carolina,ACC,ACC,8355617,50839894,30224001,20615893
Nebraska,Big Ten,Big Ten,7973918,48517435,38946701,9570734
Virginia Tech,ACC,ACC,7732903,47050980,21168159,25882821
Iowa State,Big 12,Big 12,7551312,45946084,22909710,23036374
Kansas,Big 12,Big 12,7427957,45195526,17933864,27261662
Utah,Pac-12,Big 12,7252969,44130809,15286819,28843990
Minnesota,Big Ten,Big Ten,7171424,43634648,19252536,24382112
Missouri,SEC,SEC,7146859,43485183,13929479,29555704
Kansas State,Big 12,Big 12,7121436,43330498,15221310,28109188
Texas Tech,Big 12,Big 12,6986182,42507539,13560519,28947020
Mississippi State,SEC,SEC,6467166,39349578,16737350,22612228
Arizona,Pac-12,Big 12,6414683,39030243,19164426,19865817
North Carolina State,ACC,ACC,5935429,36114218,21214362,14899856
UCLA,Pac-12,Big Ten,5919423,36016831,17494361,18522470
Arizona State,Pac-12,Big 12,5689877,34620152,14144182,20475970
Purdue,Big Ten,Big Ten,5510579,33529207,16617614,16911593
West Virginia,Big 12,Big 12,5495362,33436624,18763866,14672758
Oklahoma State,Big 12,Big 12,5338583,32482697,12882021,19600676
Colorado,Pac-12,Big 12,5337719,32477439,19175198,13302241
Georgia Tech,ACC,ACC,4281809,26052739,12303309,13749430
Cincinnati,Big-12,Big-12,3984845,24245856,9631998,14613858
California,Pac-12,ACC,3932903,23929814,8073384,15856430
Maryland,Big Ten,Big Ten,3735112,22726352,12735792,9990560
Rutgers,Big Ten,Big Ten,3624816,22055252,13049333,9005919
Central Florida,Big-12,Big-12,3308993,20133624,5782943,14350681
Washington State,Pac-12,Pac-12,3216991,19573838,9299636,10274202
Oregon State,Pac-12,Pac-12,3163423,19247899,9447886,9800013
Houston,Big-12,Big-12,2098333,12767342,5191579,7575763
